n,time_sec
1000,0.004
2000,0.007
3000,0.015
4000,0.018
5000,0.028
6000,0.04
7000,0.054
8000,0.071
9000,0.091
10000,0.112
11000,0.209
12000,0.168
13000,0.186
14000,0.225
15000,0.258
16000,0.296
17000,0.336
18000,0.382
19000,0.406
20000,0.444
21000,0.496
22000,0.547
23000,0.591
24000,0.651
25000,0.697
26000,0.763
27000,0.82
28000,0.875
29000,0.943
30000,1.011
31000,1.077
32000,1.147
33000,1.227
34000,1.289
35000,1.366
36000,1.446
37000,1.53
38000,1.609
39000,1.696
40000,1.797
41000,1.883
42000,1.97
43000,2.07
44000,2.167
45000,2.267
46000,2.375
47000,2.471
48000,2.586
49000,2.692
50000,2.807
51000,2.927
52000,3.026
53000,3.144
54000,3.278
55000,3.38
56000,3.515
57000,3.62
58000,3.769
59000,3.914
60000,4.045
61000,4.163
62000,4.307
63000,4.43
64000,4.6
65000,4.721
66000,4.873
67000,5.034
68000,5.17
69000,5.31
70000,5.528
71000,5.738
72000,5.953
73000,6.164
74000,6.425
75000,6.626
76000,6.902
77000,7.113
78000,7.306
79000,7.53
80000,7.741
81000,8.022
82000,8.275
83000,8.508
84000,8.73
85000,8.964
86000,8.237
87000,8.451
88000,8.65
89000,8.831
90000,9.047
91000,9.291
92000,9.468
93000,9.664
94000,9.901
95000,10.133
96000,10.312
97000,10.531
98000,10.778
99000,11.093
100000,11.235
110000,13.559
120000,16.15
130000,18.973
140000,27.412
150000,31.323
160000,28.715
170000,33.34
180000,36.877
190000,41.109
200000,45.608
210000,50.163
220000,55.107
230000,60.276
240000,65.625
250000,71.071
260000,76.927
270000,86.573
280000,89.428
290000,95.678
300000,105.863
310000,109.358
320000,119.877
330000,125.9
340000,132.119
350000,150.458
360000,149.609
370000,159.134
380000,164.147
390000,172.754
400000,204.675
410000,192.345
420000,232.555
430000,253.319
440000,216.686
450000,252.5
460000,258.511
470000,287.772
480000,271.859
490000,325.744
500000,314.449
510000,360.216
520000,341.174
530000,362.777
540000,370.394
550000,348.088
560000,349.704
570000,378.158
580000,438.161
590000,449.711
600000,462.49
610000,421.871
620000,517.907
630000,541.657
640000,548.326
650000,532.25
660000,486.415
670000,519.352
680000,576.952
690000,600.171
700000,625.537
710000,662.755
720000,585.568
730000,699.804
740000,764.804
750000,795.817
760000,713.773
770000,770.631
780000,681.418
790000,857.355
800000,837.401
810000,853.739
820000,901.711
830000,884.644
840000,890.845
850000,804.459
860000,803.39
870000,1047.24
880000,900.905
890000,1114.08
900000,1050.15
910000,989.367
